anls,answer_rate,answered,character_f1,conciseness_violation_rate,incremental_peak_gpu_gb_max,judge_evaluated,judge_label_counts,judge_soft_accuracy,judge_strict_accuracy,judge_strict_accuracy_ci95,judge_unjudgeable_rate,latency_mean_seconds,latency_median_seconds,latency_p95_seconds,modality,model_key,normalized_exact_match,peak_gpu_gb_max,repetition_rate,rouge_l_f1,status_counts,task_aware_score,task_aware_score_ci95,throughput_qa_per_hour,token_f1,token_f1_ci95,total
0.21963393978559778,1.0,764,0.39084637161104424,0.0013089005235602095,1.697,764,"{""partially_correct"": 24, ""correct"": 363, ""incorrect"": 377}",0.4908376963350785,0.47513089005235604,"{""mean"": 0.47513089005235604, ""low"": 0.4410994764397906, ""high"": 0.5091623036649214}",0.0,0.7287770942408377,0.6956,0.8206,depth,internvl:InternVL3-8B:frame:064c18f7,0.2107329842931937,10.124,0.0013089005235602095,0.30321816268459323,"{""answered"": 764}",0.4252727275633035,"{""mean"": 0.4252727275633035, ""low"": 0.3920199419544969, ""high"": 0.4591109225271529}",4939.782038224039,0.30321816268459323,"{""mean"": 0.30321816268459323, ""low"": 0.2737050834563924, ""high"": 0.33028954970362423}",764
0.3317927912890456,1.0,822,0.5241801933052269,0.0,1.686,822,"{""incorrect"": 390, ""partially_correct"": 49, ""correct"": 383}",0.4957420924574209,0.4659367396593674,"{""mean"": 0.4659367396593674, ""low"": 0.4318734793187348, ""high"": 0.5}",0.0,0.7783520681265207,0.7223,0.9792,event,internvl:InternVL3-8B:frame:064c18f7,0.31143552311435524,10.114,0.00851581508515815,0.3769234584015606,"{""answered"": 822}",0.42354014598540146,"{""mean"": 0.42354014598540146, ""low"": 0.3906239137990963, ""high"": 0.45647375738616613}",4625.156336598604,0.37780578775104323,"{""mean"": 0.37780578775104323, ""low"": 0.347009863615703, ""high"": 0.4104000554730482}",822
0.22636560652979001,1.0,1561,0.4096847031678646,0.0019218449711723255,1.686,1561,"{""partially_correct"": 85, ""incorrect"": 719, ""correct"": 757}",0.5121716848174247,0.4849455477258168,"{""mean"": 0.4849455477258168, ""low"": 0.4618834080717489, ""high"": 0.5092889173606663}",0.0,0.7688434977578475,0.6942,1.0064,ir,internvl:InternVL3-8B:frame:064c18f7,0.21012171684817424,10.114,0.004484304932735426,0.299887019922921,"{""answered"": 1561}",0.39126346831501,"{""mean"": 0.39126346831501, ""low"": 0.3688109052947719, ""high"": 0.4129246447885835}",4682.357346454185,0.3022336656122283,"{""mean"": 0.3022336656122283, ""low"": 0.2833884901388992, ""high"": 0.3212921540345506}",1561
0.19588470126546456,1.0,2318,0.3987745647184851,0.0008628127696289905,1.756,2318,"{""partially_correct"": 142, ""incorrect"": 1038, ""correct"": 1138}",0.5215703192407247,0.4909404659188956,"{""mean"": 0.4909404659188956, ""low"": 0.4715271786022433, ""high"": 0.5116479723899914}",0.0,0.7700320103537532,0.7035,1.0089,rgb,internvl:InternVL3-8B:frame:064c18f7,0.17730802415875754,10.183,0.001725625539257981,0.27765943284345607,"{""answered"": 2318}",0.3802083327949847,"{""mean"": 0.3802083327949847, ""low"": 0.3616033760549724, ""high"": 0.4002088208397961}",4675.130321330608,0.27900240843216445,"{""mean"": 0.27900240843216445, ""low"": 0.2636869047894874, ""high"": 0.2943104023366584}",2318
0.20052782537076044,1.0,764,0.34260484245576783,0.015706806282722512,4.867,764,"{""incorrect"": 436, ""correct"": 317, ""partially_correct"": 11}",0.42212041884816753,0.41492146596858637,"{""mean"": 0.41492146596858637, ""low"": 0.38089005235602097, ""high"": 0.4476439790575916}",0.0,2.842308115183246,2.8036,3.0244,depth,molmo2:Molmo2-8B:frame:f439be0c,0.18586387434554974,21.009,0.005235602094240838,0.266870506174864,"{""answered"": 764}",0.370513793173941,"{""mean"": 0.370513793173941, ""low"": 0.3381878243920129, ""high"": 0.40319144633896714}",1266.5762662285838,0.26702449447175347,"{""mean"": 0.26702449447175347, ""low"": 0.24093673325271725, ""high"": 0.29465321468901695}",764
0.23616116670655807,1.0,822,0.3909424629930947,0.02068126520681265,4.867,822,"{""incorrect"": 441, ""correct"": 359, ""partially_correct"": 22}",0.45012165450121655,0.4367396593673966,"{""mean"": 0.4367396593673966, ""low"": 0.402676399026764, ""high"": 0.4708029197080292}",0.0,2.8742945255474455,2.8282,3.0233,event,molmo2:Molmo2-8B:frame:f439be0c,0.22141119221411193,21.009,0.004866180048661801,0.2745812278776368,"{""answered"": 822}",0.38169582512648204,"{""mean"": 0.38169582512648204, ""low"": 0.3480940794809408, ""high"": 0.41334916772872976}",1252.4812499214338,0.275702071788547,"{""mean"": 0.275702071788547, ""low"": 0.24532659131754253, ""high"": 0.3032296231641748}",822
0.20687852346346466,1.0,1561,0.3779435370086917,0.009609224855861628,4.867,1561,"{""correct"": 793, ""incorrect"": 701, ""partially_correct"": 67}",0.5294682895579756,0.5080076873798847,"{""mean"": 0.5080076873798847, ""low"": 0.484304932735426, ""high"": 0.5336322869955157}",0.0,2.8607567584881486,2.7996,3.1462,ir,molmo2:Molmo2-8B:frame:f439be0c,0.18705957719410635,21.009,0.009609224855861628,0.2775599647887326,"{""answered"": 1561}",0.37603124725518594,"{""mean"": 0.37603124725518594, ""low"": 0.35384069069183993, ""high"": 0.39928094901237665}",1258.4082828148328,0.2794747255292806,"{""mean"": 0.2794747255292806, ""low"": 0.259678802831515, ""high"": 0.29971700233935894}",1561
0.1681158990403189,1.0,2318,0.35813968022425835,0.02113891285591027,4.875,2318,"{""incorrect"": 1025, ""correct"": 1197, ""partially_correct"": 96}",0.5371009490940466,0.5163934426229508,"{""mean"": 0.5163934426229508, ""low"": 0.49611734253666956, ""high"": 0.5362381363244176}",0.0,2.898186885245902,2.8116,3.2724,rgb,molmo2:Molmo2-8B:frame:f439be0c,0.14969801553062986,21.009,0.004745470232959448,0.2527217031289289,"{""answered"": 2318}",0.38340440828836825,"{""mean"": 0.38340440828836825, ""low"": 0.36419737353020526, ""high"": 0.40162322000379724}",1242.155921112919,0.25567378837088567,"{""mean"": 0.25567378837088567, ""low"": 0.24145942896885558, ""high"": 0.2696415629871218}",2318
0.2533548513275913,1.0,764,0.396357665039783,0.005235602094240838,2.19,764,"{""correct"": 383, ""incorrect"": 370, ""partially_correct"": 11}",0.5085078534031413,0.5013089005235603,"{""mean"": 0.5013089005235603, ""low"": 0.46596858638743455, ""high"": 0.5340314136125655}",0.0,1.9054226439790576,1.8858,2.0375,depth,qwen_vl:Qwen3-VL-8B-Instruct:frame:b7ab285f,0.2395287958115183,8.464,0.002617801047120419,0.3282273576791517,"{""answered"": 764}",0.45201728788495116,"{""mean"": 0.45201728788495116, ""low"": 0.4162104859562837, ""high"": 0.48456003963581806}",1889.3446088591622,0.3284455077664117,"{""mean"": 0.3284455077664117, ""low"": 0.2987026360901562, ""high"": 0.3571389154884774}",764
0.3022624964723213,1.0,822,0.46266448856993564,0.004866180048661801,2.188,822,"{""correct"": 457, ""partially_correct"": 35, ""incorrect"": 330}",0.5772506082725061,0.5559610705596107,"{""mean"": 0.5559610705596107, ""low"": 0.5231143552311436, ""high"": 0.5900243309002433}",0.0,1.917337712895377,1.9018,2.0957,event,qwen_vl:Qwen3-VL-8B-Instruct:frame:b7ab285f,0.27858880778588807,8.462,0.0,0.3546100546072102,"{""answered"": 822}",0.4970783609469741,"{""mean"": 0.4970783609469741, ""low"": 0.4652966052601089, ""high"": 0.529345769126791}",1877.603499783892,0.35571073818964555,"{""mean"": 0.35571073818964555, ""low"": 0.3260478311214641, ""high"": 0.38472709519520054}",822
