anls,answer_rate,answered,bleu_4,character_f1,conciseness_violation_rate,frame_counts,incremental_peak_gpu_gb_max,judge_evaluated,judge_label_counts,judge_soft_accuracy,judge_strict_accuracy,judge_strict_accuracy_ci95,judge_unjudgeable_rate,latency_mean_seconds,latency_median_seconds,latency_p95_seconds,max_frames_per_item,meteor,modality,model_key,normalized_exact_match,peak_gpu_gb_max,repetition_rate,rouge_l_f1,status_counts,task_aware_score,task_aware_score_ci95,throughput_qa_per_hour,token_f1,token_f1_ci95,total
0.24274232708448784,1.0,764,0.5539071584558388,0.4256848025290952,0.0,[],13.796,764,"{""incorrect"": 406, ""correct"": 340, ""partially_correct"": 18}",0.4568062827225131,0.44502617801047123,"{""mean"": 0.44502617801047123, ""low"": 0.4109947643979058, ""high"": 0.4790575916230366}",0.0,3.3941608638743457,2.9338,6.7083,[],0.14966905247052972,depth,internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,0.2212041884816754,18.943,0.002617801047120419,0.3085100254602872,"{""answered"": 764}",0.40370137425111247,"{""mean"": 0.40370137425111247, ""low"": 0.37024961658469513, ""high"": 0.43632000634618434}",1060.6450738138253,0.3085100254602872,"{""mean"": 0.3085100254602872, ""low"": 0.2801131169586667, ""high"": 0.3373079145984905}",764
0.3140773324296013,1.0,822,0.6801871312459269,0.5171352008901762,0.006082725060827251,[],13.779,822,"{""incorrect"": 442, ""correct"": 346, ""partially_correct"": 34}",0.4416058394160584,0.4209245742092457,"{""mean"": 0.4209245742092457, ""low"": 0.38686131386861317, ""high"": 0.45498783454987834}",0.0,4.0200199513382,2.9379,13.9004,[],0.18346181564332437,event,internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,0.3029197080291971,18.926,0.012165450121654502,0.35619716766152615,"{""answered"": 822}",0.39081324190813244,"{""mean"": 0.39081324190813244, ""low"": 0.35461813126046704, ""high"": 0.4240354535974974}",895.5179435867278,0.35662763743506165,"{""mean"": 0.35662763743506165, ""low"": 0.32477203229922535, ""high"": 0.3874507275647211}",822
0.24033796740162916,1.0,1561,0.4412240583177629,0.4256759668669176,0.0025624599615631004,[],13.787,1561,"{""correct"": 841, ""incorrect"": 662, ""partially_correct"": 58}",0.5573350416399744,0.5387572069186419,"{""mean"": 0.5387572069186419, ""low"": 0.5137732222934016, ""high"": 0.5624599615631006}",0.0,3.1130041639974375,2.9331,4.6377,[],0.1596360742793272,ir,internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,0.2242152466367713,18.935,0.0032030749519538757,0.32054392266239856,"{""answered"": 1561}",0.41576976922198094,"{""mean"": 0.41576976922198094, ""low"": 0.39272930698088826, ""high"": 0.43805645442278285}",1156.439185541339,0.3220277947437284,"{""mean"": 0.3220277947437284, ""low"": 0.30270475881926767, ""high"": 0.3411470854822937}",1561
0.20307144471658795,1.0,2318,0.3836617808561296,0.40506771014154663,0.0030198446937014668,[],14.016,2318,"{""partially_correct"": 126, ""incorrect"": 1042, ""correct"": 1150}",0.5232959447799828,0.49611734253666956,"{""mean"": 0.49611734253666956, ""low"": 0.47497842968075926, ""high"": 0.5163934426229508}",0.0,3.118325064710958,2.933,3.9051,[],0.13996891457442123,rgb,internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,0.18507333908541845,19.163,0.003882657463330457,0.2845014903318742,"{""answered"": 2318}",0.3827773884113793,"{""mean"": 0.3827773884113793, ""low"": 0.36400044957152794, ""high"": 0.40301961103371925}",1154.4659152889503,0.2857970001778586,"{""mean"": 0.2857970001778586, ""low"": 0.270439322511322, ""high"": 0.3011730895609787}",2318
0.23930056401043376,1.0,764,0.5517319854950148,0.37960667747126714,0.017015706806282723,[],5.227,764,"{""correct"": 346, ""incorrect"": 401, ""partially_correct"": 17}",0.4640052356020942,0.45287958115183247,"{""mean"": 0.45287958115183247, ""low"": 0.4175392670157068, ""high"": 0.4882198952879581}",0.0,2.418268848167539,1.8224,6.3874,[],0.15156566938570373,depth,molmo2:Molmo2-4B:video:a0cf3167,0.2238219895287958,14.27,0.003926701570680628,0.29705468102324045,"{""answered"": 764}",0.41917678582514684,"{""mean"": 0.41917678582514684, ""low"": 0.38561793629771096, ""high"": 0.4533341549375581}",1488.6682275744186,0.2971593930651253,"{""mean"": 0.2971593930651253, ""low"": 0.26754224124936504, ""high"": 0.3269406475692643}",764
0.25726096970743983,1.0,822,0.6813038723938141,0.4023960174073198,0.014598540145985401,[],5.227,822,"{""incorrect"": 378, ""correct"": 406, ""partially_correct"": 38}",0.5170316301703163,0.49391727493917276,"{""mean"": 0.49391727493917276, ""low"": 0.45985401459854014, ""high"": 0.5291970802919708}",0.0,3.4739384428223845,1.8223,19.3412,[],0.15987055224869112,event,molmo2:Molmo2-4B:video:a0cf3167,0.2396593673965937,14.27,0.006082725060827251,0.29484234798855846,"{""answered"": 822}",0.42248521956551155,"{""mean"": 0.42248521956551155, ""low"": 0.3903266239032662, ""high"": 0.4574238211099525}",1036.2877924443583,0.29651707229102,"{""mean"": 0.29651707229102, ""low"": 0.267268664575459, ""high"": 0.3254935566282692}",822
0.21022345333097534,1.0,1561,0.43770824524272955,0.36531966068874405,0.004484304932735426,[],5.227,1561,"{""correct"": 788, ""incorrect"": 711, ""partially_correct"": 62}",0.5246636771300448,0.5048046124279308,"{""mean"": 0.5048046124279308, ""low"": 0.48046124279308133, ""high"": 0.529788597053171}",0.0,1.9893097373478539,1.8215,4.036,[],0.14196877642159553,ir,molmo2:Molmo2-4B:video:a0cf3167,0.19282511210762332,14.27,0.007046764894298526,0.27534696297430983,"{""answered"": 1561}",0.40392368578363297,"{""mean"": 0.40392368578363297, ""low"": 0.3827851059303886, ""high"": 0.42622383072583075}",1809.67293951897,0.27751662322490606,"{""mean"": 0.27751662322490606, ""low"": 0.2577619625758429, ""high"": 0.297295019923612}",1561
0.16562194751332177,1.0,2318,0.3838409408472046,0.34017917909900625,0.009490940465918895,[],5.235,2318,"{""incorrect"": 1070, ""correct"": 1174, ""partially_correct"": 74}",0.5224331320103538,0.5064710957722174,"{""mean"": 0.5064710957722174, ""low"": 0.4857635893011217, ""high"": 0.5263157894736842}",0.0,2.0322799827437446,1.8218,2.4118,[],0.130320144789142,rgb,molmo2:Molmo2-4B:video:a0cf3167,0.14969801553062986,14.27,0.0030198446937014668,0.2450411647750009,"{""answered"": 2318}",0.39442979856176275,"{""mean"": 0.39442979856176275, ""low"": 0.3757142628381932, ""high"": 0.4129084688681475}",1771.4094664947227,0.24752815856933294,"{""mean"": 0.24752815856933294, ""low"": 0.23411795222142645, ""high"": 0.2609021307449892}",2318
0.2275976964548696,1.0,764,0.5537811302814476,0.3615691858278652,0.002617801047120419,[],6.289,764,"{""correct"": 327, ""incorrect"": 432, ""partially_correct"": 5}",0.431282722513089,0.4280104712041885,"{""mean"": 0.4280104712041885, ""low"": 0.39267015706806285, ""high"": 0.4620418848167539}",0.0,4.847430104712042,4.6433,6.429,[],0.13951852178823773,depth,qwen_vl:Qwen3-VL-4B-Instruct:video:ecf43346,0.21465968586387435,9.149,0.0013089005235602095,0.2838590477046613,"{""answered"": 764}",0.39015151515151514,"{""mean"": 0.39015151515151514, ""low"": 0.3557948595906711, ""high"": 0.4242265587815326}",742.6615592663322,0.2838590477046613,"{""mean"": 0.2838590477046613, ""low"": 0.25374674435937367, ""high"": 0.3128377551519551}",764
0.2836448215313947,1.0,822,0.6844438661494059,0.4367041131701663,0.009732360097323601,[],6.288,822,"{""correct"": 432, ""incorrect"": 356, ""partially_correct"": 34}",0.5462287104622872,0.5255474452554745,"{""mean"": 0.5255474452554745, ""low"": 0.4927007299270073, ""high"": 0.5571776155717761}",0.0,5.049389294403893,4.6459,8.6562,[],0.17555979951502562,event,qwen_vl:Qwen3-VL-4B-Instruct:video:ecf43346,0.26277372262773724,9.148,0.00851581508515815,0.331712038340043,"{""answered"": 822}",0.46940511446290034,"{""mean"": 0.46940511446290034, ""low"": 0.4382809674780478, ""high"": 0.5008696190265534}",712.9575063641437,0.33198238167607974,"{""mean"": 0.33198238167607974, ""low"": 0.30272967085939295, ""high"": 0.36080391278399987}",822
