anls,answer_rate,answered,bleu_4,character_f1,conciseness_violation_rate,frame_counts,incremental_peak_gpu_gb_max,judge_evaluated,judge_label_counts,judge_soft_accuracy,judge_strict_accuracy,judge_strict_accuracy_ci95,judge_unjudgeable_rate,latency_mean_seconds,latency_median_seconds,latency_p95_seconds,max_frames_per_item,meteor,model_key,normalized_exact_match,peak_gpu_gb_max,repetition_rate,rouge_l_f1,section,status_counts,task_aware_score,task_aware_score_ci95,throughput_qa_per_hour,token_f1,token_f1_ci95,total
0.1397434184223935,1.0,1668,0.34283316861062063,0.4484775785488861,0.0,[8],2.055,1668,"{""incorrect"": 744, ""correct"": 739, ""partially_correct"": 185}",0.4985011990407674,0.4430455635491607,"{""mean"": 0.4430455635491607, ""low"": 0.41906474820143885, ""high"": 0.46642685851318944}",0.0,0.5852141486810551,0.5692,0.6947,[],0.12495433011980933,internvl:InternVL3_5-4B-Instruct:frame:7aa99958,0.11390887290167866,8.448,0.0,0.24550608431004114,action,"{""answered"": 1668}",0.30195018477392577,"{""mean"": 0.30195018477392577, ""low"": 0.2819559420728486, ""high"": 0.3200091225720722}",6151.5942635932815,0.2461951434523377,"{""mean"": 0.2461951434523377, ""low"": 0.22915513909218946, ""high"": 0.26176243986495784}",1668
0.2931541683286797,1.0,1744,0.5654802357877148,0.4134626748519812,0.0,[8],2.063,1744,"{""correct"": 1004, ""incorrect"": 738, ""partially_correct"": 2}",0.5762614678899083,0.5756880733944955,"{""mean"": 0.5756880733944955, ""low"": 0.5521788990825688, ""high"": 0.5974770642201835}",0.0,0.5419304472477064,0.5378,0.5692,[],0.16444239665902577,internvl:InternVL3_5-4B-Instruct:frame:7aa99958,0.29243119266055045,8.455,0.0,0.3441081179913158,counting,"{""answered"": 1744}",0.5682339449541285,"{""mean"": 0.5682339449541285, ""low"": 0.5452981651376146, ""high"": 0.5905963302752294}",6642.918880611451,0.3441081179913158,"{""mean"": 0.3441081179913158, ""low"": 0.3232598055488762, ""high"": 0.36395449497922877}",1744
0.311700955561774,1.0,604,0.592270626229015,0.5596699811131346,0.0,[8],2.049,604,"{""incorrect"": 276, ""partially_correct"": 52, ""correct"": 276}",0.5,0.45695364238410596,"{""mean"": 0.45695364238410596, ""low"": 0.4155629139072848, ""high"": 0.5}",0.0,0.5724370860927153,0.5645,0.691,[],0.19356960778988158,internvl:InternVL3_5-4B-Instruct:frame:7aa99958,0.28807947019867547,8.441,0.0,0.36540250588263834,depth_action,"{""answered"": 604}",0.3889518593988793,"{""mean"": 0.3889518593988793, ""low"": 0.3507507944594037, ""high"": 0.4289089222036242}",6288.900714963327,0.36540250588263834,"{""mean"": 0.36540250588263834, ""low"": 0.3287813639634832, ""high"": 0.40386323573409666}",604
0.13592233009708737,1.0,412,0.5825848379836982,0.24791383537984216,0.0,[8],2.055,412,"{""incorrect"": 284, ""correct"": 128}",0.3106796116504854,0.3106796116504854,"{""mean"": 0.3106796116504854, ""low"": 0.2669902912621359, ""high"": 0.3567961165048544}",0.0,0.5397555825242718,0.538,0.5665,[],0.0835495589914022,internvl:InternVL3_5-4B-Instruct:frame:7aa99958,0.13592233009708737,8.448,0.0,0.17755432269995378,depth_counting,"{""answered"": 412}",0.3155339805825243,"{""mean"": 0.3155339805825243, ""low"": 0.27184466019417475, ""high"": 0.3616504854368932}",6669.685532781151,0.17755432269995378,"{""mean"": 0.17755432269995378, ""low"": 0.1438626907073509, ""high"": 0.2121012482662968}",412
0.1673728813559322,1.0,472,0.7037559156604477,0.3771944178287648,0.0,[8],2.058,472,"{""incorrect"": 299, ""correct"": 173}",0.3665254237288136,0.3665254237288136,"{""mean"": 0.3665254237288136, ""low"": 0.326271186440678, ""high"": 0.413135593220339}",0.0,0.5422375,0.5383,0.5699,[],0.09101806422836753,internvl:InternVL3_5-4B-Instruct:frame:7aa99958,0.13771186440677965,8.451,0.0,0.19456214689265536,depth_dynamic_counting,"{""answered"": 472}",0.3495762711864407,"{""mean"": 0.3495762711864407, ""low"": 0.3093220338983051, ""high"": 0.3961864406779661}",6639.157195878188,0.19456214689265536,"{""mean"": 0.19456214689265536, ""low"": 0.16348870056497175, ""high"": 0.22810734463276836}",472
0.30816283957103563,1.0,524,0.6203359660748813,0.4246655556106718,0.0,[8],2.058,524,"{""correct"": 232, ""incorrect"": 278, ""partially_correct"": 14}",0.45610687022900764,0.44274809160305345,"{""mean"": 0.44274809160305345, ""low"": 0.40076335877862596, ""high"": 0.48854961832061067}",0.0,0.5648064885496183,0.5385,0.7542,[],0.1683909505557808,internvl:InternVL3_5-4B-Instruct:frame:7aa99958,0.2786259541984733,8.451,0.0057251908396946565,0.3485308372712953,depth_dynamic_recognition,"{""answered"": 524}",0.40048770144189993,"{""mean"": 0.40048770144189993, ""low"": 0.35966921119592876, ""high"": 0.44164546225614926}",6373.86445266331,0.3485308372712953,"{""mean"": 0.3485308372712953, ""low"": 0.3119486853265479, ""high"": 0.38926753907669936}",524
0.16504669334858013,1.0,212,0.337807228900817,0.40213947260667127,0.0,[8],2.058,212,"{""correct"": 114, ""incorrect"": 97, ""partially_correct"": 1}",0.5400943396226415,0.5377358490566038,"{""mean"": 0.5377358490566038, ""low"": 0.4716981132075472, ""high"": 0.6037735849056604}",0.0,0.5476099056603774,0.5382,0.6008,[],0.14973163787504565,internvl:InternVL3_5-4B-Instruct:frame:7aa99958,0.1509433962264151,8.451,0.0,0.31691374663072774,depth_navigation,"{""answered"": 212}",0.47641509433962265,"{""mean"": 0.47641509433962265, ""low"": 0.41037735849056606, ""high"": 0.5471698113207547}",6574.022790290228,0.31691374663072774,"{""mean"": 0.31691374663072774, ""low"": 0.2714510332434861, ""high"": 0.3671383647798742}",212
0.6071428571428571,1.0,224,0.7753872910088977,0.6543541260117834,0.0,[8],2.065,224,"{""correct"": 171, ""incorrect"": 53}",0.7633928571428571,0.7633928571428571,"{""mean"": 0.7633928571428571, ""low"": 0.7053571428571429, ""high"": 0.8169642857142857}",0.0,0.54035625,0.5382,0.5678,[],0.325447838840696,internvl:InternVL3_5-4B-Instruct:frame:7aa99958,0.6071428571428571,8.457,0.0,0.6711734693877551,depth_non_common,"{""answered"": 224}",0.7633928571428571,"{""mean"": 0.7633928571428571, ""low"": 0.7053571428571429, ""high"": 0.8169642857142857}",6662.271418161629,0.6711734693877551,"{""mean"": 0.6711734693877551, ""low"": 0.6144132653061225, ""high"": 0.7237244897959184}",224
0.10100333093900087,1.0,196,0.48935751822766627,0.3772206027841807,0.0,[8],2.072,196,"{""correct"": 71, ""incorrect"": 114, ""partially_correct"": 11}",0.3903061224489796,0.3622448979591837,"{""mean"": 0.3622448979591837, ""low"": 0.29591836734693877, ""high"": 0.4336734693877551}",0.0,0.6051428571428571,0.571,0.7239,[],0.10583868490759495,internvl:InternVL3_5-4B-Instruct:frame:7aa99958,0.10714285714285714,8.465,0.0,0.1783912374473599,depth_object_recognition,"{""answered"": 196}",0.20197602850664076,"{""mean"": 0.20197602850664076, ""low"": 0.14852607709750568, ""high"": 0.2599611273080661}",5949.00849858357,0.1783912374473599,"{""mean"": 0.1783912374473599, ""low"": 0.13067298347910591, ""high"": 0.22790532879818595}",196
0.20071231179721746,1.0,212,0.3294290219520555,0.425370489977238,0.0,[8],2.06,212,"{""incorrect"": 84, ""partially_correct"": 5, ""correct"": 123}",0.5919811320754716,0.5801886792452831,"{""mean"": 0.5801886792452831, ""low"": 0.5141509433962265, ""high"": 0.6462264150943396}",0.0,0.5709141509433963,0.5392,0.7257,[],0.16461636979770963,internvl:InternVL3_5-4B-Instruct:frame:7aa99958,0.18867924528301888,8.452,0.0,0.357604798087595,depth_scene_sequence,"{""answered"": 212}",0.5216981132075472,"{""mean"": 0.5216981132075472, ""low"": 0.45660377358490567, ""high"": 0.5849056603773585}",6305.676596124385,0.357604798087595,"{""mean"": 0.357604798087595, ""low"": 0.3097697714789835, ""high"": 0.40765602322206096}",212
