answer_rate,answered,bleu_4,input_modality,judge_evaluated,judge_soft_accuracy,judge_strict_accuracy,meteor,model_name,provider,rouge_l_f1,source_modality,source_section,status_counts,task_aware_score,token_f1,total
1.0,151,0.569983473023567,depth,151,0.4503311258278146,0.41721854304635764,0.17273452492682606,models/internvl/InternVL3_5-4B-Instruct,internvl,0.320182098990046,depth,depth_action,{'answered': 151},0.33977633845183514,0.320182098990046,151
1.0,151,0.5989224801075012,event,151,0.4900662251655629,0.4503311258278146,0.19669627567410478,models/internvl/InternVL3_5-4B-Instruct,internvl,0.3808351324907616,depth,depth_action,{'answered': 151},0.40263687747131455,0.3808351324907616,151
1.0,151,0.6072290821260531,ir,151,0.5397350993377483,0.4966887417218543,0.20700128610849902,models/internvl/InternVL3_5-4B-Instruct,internvl,0.3898745845765713,depth,depth_action,{'answered': 151},0.41369987628265775,0.3898745845765713,151
1.0,151,0.5929474696589389,rgb,151,0.5198675496688742,0.46357615894039733,0.19784634445009647,models/internvl/InternVL3_5-4B-Instruct,internvl,0.37071820747317435,depth,depth_action,{'answered': 151},0.3996943453897096,0.37071820747317435,151
1.0,103,0.5764868506809898,depth,103,0.24271844660194175,0.24271844660194175,0.060702524422503984,models/internvl/InternVL3_5-4B-Instruct,internvl,0.12639852057327786,depth,depth_counting,{'answered': 103},0.2524271844660194,0.12639852057327786,103
1.0,103,0.5769233563411895,event,103,0.2524271844660194,0.2524271844660194,0.06493461207457948,models/internvl/InternVL3_5-4B-Instruct,internvl,0.13851132686084142,depth,depth_counting,{'answered': 103},0.2621359223300971,0.13851132686084142,103
1.0,103,0.5874881389912441,ir,103,0.3786407766990291,0.3786407766990291,0.10198111181908638,models/internvl/InternVL3_5-4B-Instruct,internvl,0.21941747572815534,depth,depth_counting,{'answered': 103},0.3786407766990291,0.21941747572815534,103
1.0,103,0.5894410059213693,rgb,103,0.36893203883495146,0.36893203883495146,0.10657998764943896,models/internvl/InternVL3_5-4B-Instruct,internvl,0.22588996763754046,depth,depth_counting,{'answered': 103},0.36893203883495146,0.22588996763754046,103
1.0,118,0.6985941393082433,depth,118,0.3220338983050847,0.3220338983050847,0.07278259207340385,models/internvl/InternVL3_5-4B-Instruct,internvl,0.153954802259887,depth,depth_dynamic_counting,{'answered': 118},0.3050847457627119,0.153954802259887,118
1.0,118,0.7040844822561755,event,118,0.3813559322033898,0.3813559322033898,0.09312476105518032,models/internvl/InternVL3_5-4B-Instruct,internvl,0.2005649717514124,depth,depth_dynamic_counting,{'answered': 118},0.3644067796610169,0.2005649717514124,118
