answer_rate,answered,bleu_4,input_modality,judge_evaluated,judge_soft_accuracy,judge_strict_accuracy,meteor,model_name,provider,rouge_l_f1,status_counts,task_aware_score,token_f1,total
1.0,5331,0.45188476144133044,depth,5331,0.4257175014068655,0.40911648846370285,0.11847641512650285,models/internvl/InternVL3_5-4B-Instruct,internvl,0.24537380448508173,{'answered': 5331},0.34398499940414906,0.24586000018534168,5331
1.0,5331,0.4584846380313159,event,5331,0.4286250234477584,0.4094916525980116,0.12788714909540994,models/internvl/InternVL3_5-4B-Instruct,internvl,0.2575964068951075,{'answered': 5331},0.344768782326641,0.2583780881816984,5331
1.0,5331,0.46606421048373675,ir,5331,0.48818232976927406,0.4670793472144063,0.14587523975432456,models/internvl/InternVL3_5-4B-Instruct,internvl,0.2923061203847592,{'answered': 5331},0.38185663445505075,0.2931107939884273,5331
1.0,5331,0.46727807399385485,rgb,5331,0.4848996435940724,0.45901331832676795,0.14808700185348914,models/internvl/InternVL3_5-4B-Instruct,internvl,0.292115072119467,{'answered': 5331},0.37515617259255635,0.2931132714674903,5331
1.0,5331,0.40767932583376565,depth,5331,0.3199812382739212,0.3136960600375234,0.09008309442283026,models/molmo2/Molmo2-4B,molmo2,0.17262376687747738,{'answered': 5331},0.27025989386929344,0.17402301156043307,5331
1.0,5331,0.42938570418001587,event,5331,0.4276735459662289,0.41613508442776737,0.12270238429331384,models/molmo2/Molmo2-4B,molmo2,0.23399222656635543,{'answered': 5331},0.33850378086896526,0.2355335626677883,5331
1.0,5331,0.44806593528049116,ir,5331,0.49587319452260364,0.48283624085537424,0.14080497265525846,models/molmo2/Molmo2-4B,molmo2,0.26719649685398417,{'answered': 5331},0.37164421383757495,0.2689937674513511,5331
1.0,5331,0.4462626351101447,rgb,5331,0.5176459545710531,0.5000938614604843,0.15126391266865358,models/molmo2/Molmo2-4B,molmo2,0.2758175048609749,{'answered': 5331},0.38650290310372604,0.2781354096533994,5331
1.0,5331,0.4469687196629302,depth,5331,0.4128681298067905,0.39992496717313825,0.11762589043930333,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.238921435923914,{'answered': 5331},0.33285084023370515,0.23962972717271164,5331
1.0,5331,0.46304783089550483,event,5331,0.5109756097560976,0.49080675422138836,0.14334488667668988,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.2822233455416193,{'answered': 5331},0.4057191405709179,0.28343404639791026,5331
1.0,5331,0.47039664353228156,ir,5331,0.5895102270594859,0.5683993244511165,0.15861233401982416,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.3082809492501915,{'answered': 5331},0.4553847744081042,0.3100859790916855,5331
1.0,5331,0.4739731875719028,rgb,5331,0.6059298179771064,0.5824732595233627,0.16791189006308402,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.3179036061412461,{'answered': 5331},0.4667194569112284,0.32002839050354237,5331
