answer_rate,answered,bleu_4,input_modality,judge_evaluated,judge_soft_accuracy,judge_strict_accuracy,meteor,model_name,provider,rouge_l_f1,source_modality,status_counts,task_aware_score,token_f1,total
1.0,764,0.5577067841417436,depth,764,0.42997382198952877,0.418848167539267,0.1342510640596484,models/internvl/InternVL3_5-4B-Instruct,internvl,0.27506184914561876,depth,{'answered': 764},0.37216492785864513,0.27506184914561876,764
1.0,764,0.5648003745810704,event,764,0.44960732984293195,0.43717277486910994,0.14704467173643795,models/internvl/InternVL3_5-4B-Instruct,internvl,0.3023676170696497,depth,{'answered': 764},0.3987541472489117,0.3023676170696497,764
1.0,764,0.5751025540669712,ir,764,0.5307591623036649,0.5170157068062827,0.17499925397181645,models/internvl/InternVL3_5-4B-Instruct,internvl,0.35609337942453123,depth,{'answered': 764},0.45888030672062086,0.35609337942453123,764
1.0,764,0.5724421853283876,rgb,764,0.4986910994764398,0.4816753926701571,0.16900433058182418,models/internvl/InternVL3_5-4B-Instruct,internvl,0.3404475033401735,depth,{'answered': 764},0.4303871085284698,0.3404475033401735,764
1.0,800,0.6782806597932997,depth,800,0.475625,0.46,0.16794158994892014,models/internvl/InternVL3_5-4B-Instruct,internvl,0.3307714404169628,event,{'answered': 800},0.4068045634920635,0.3307714404169628,800
1.0,800,0.6862015379948736,event,800,0.479375,0.46,0.18228015197493488,models/internvl/InternVL3_5-4B-Instruct,internvl,0.3512527379021944,event,{'answered': 800},0.40932151875901873,0.3515305156799722,800
1.0,800,0.693204726046045,ir,800,0.539375,0.51875,0.2043028625559303,models/internvl/InternVL3_5-4B-Instruct,internvl,0.39278642884892884,event,{'answered': 800},0.45431944444444444,0.3932030955155955,800
1.0,800,0.6947510007250299,rgb,800,0.5325,0.505,0.2055705296238374,models/internvl/InternVL3_5-4B-Instruct,internvl,0.38643139729015497,event,{'answered': 800},0.4361230158730159,0.38684806395682164,800
1.0,1500,0.41560242480238807,depth,1500,0.416,0.39866666666666667,0.11368592311404703,models/internvl/InternVL3_5-4B-Instruct,internvl,0.23448015165454705,ir,{'answered': 1500},0.32885646864693147,0.2358113234965032,1500
1.0,1500,0.42031102819309246,event,1500,0.389,0.36666666666666664,0.11374461092842822,models/internvl/InternVL3_5-4B-Instruct,internvl,0.2260991051205151,ir,{'answered': 1500},0.3034691166742854,0.22778824950042398,1500
1.0,1500,0.4280563124905154,ir,1500,0.456,0.43333333333333335,0.13342247490681636,models/internvl/InternVL3_5-4B-Instruct,internvl,0.2655399437062043,ir,{'answered': 1500},0.34623162076871755,0.2669650270622474,1500
1.0,1500,0.42929696943606344,rgb,1500,0.461,0.43,0.13485139224777967,models/internvl/InternVL3_5-4B-Instruct,internvl,0.2652070294433463,ir,{'answered': 1500},0.340078426185523,0.2671824667740467,1500
1.0,2267,0.3603359131544855,depth,2267,0.41310101455668286,0.39479488310542565,0.09887419473648375,models/internvl/InternVL3_5-4B-Instruct,internvl,0.21244072304690215,rgb,{'answered': 2267},0.32232980731163025,0.21270325128472814,2267
1.0,2267,0.36755463011886624,event,2267,0.42986325540361714,0.4106749007498897,0.11159383531027858,models/internvl/InternVL3_5-4B-Instruct,internvl,0.2302985168566729,rgb,{'answered': 2267},0.3311218879869923,0.2309210153775068,2267
1.0,2267,0.37431041253155073,ir,2267,0.47706219673577416,0.45434494927216584,0.12368128393950932,models/internvl/InternVL3_5-4B-Instruct,internvl,0.2530611059781033,rgb,{'answered': 2267},0.3538995047360782,0.2538633806202544,2267
1.0,2267,0.3766948955166444,rgb,2267,0.4792677547419497,0.45434494927216584,0.1295099189438454,models/internvl/InternVL3_5-4B-Instruct,internvl,0.2603475495896968,rgb,{'answered': 2267},0.35823809139764884,0.2612407614974727,2267
1.0,764,0.4829848189866606,depth,764,0.3599476439790576,0.35732984293193715,0.11325985032687894,models/molmo2/Molmo2-4B,molmo2,0.21693662047985932,depth,{'answered': 764},0.3226461752134559,0.21709060877674874,764
1.0,764,0.5178993782929656,event,764,0.46465968586387435,0.45418848167539266,0.15373270708918238,models/molmo2/Molmo2-4B,molmo2,0.2978696862880175,depth,{'answered': 764},0.40684884644585767,0.2979081833622399,764
1.0,764,0.5405288021328118,ir,764,0.5464659685863874,0.5392670157068062,0.17585738421508545,models/molmo2/Molmo2-4B,molmo2,0.34044104509348727,depth,{'answered': 764},0.4579670352227683,0.3410195823212392,764
1.0,764,0.5364455895910951,rgb,764,0.5530799475753604,0.5425950196592398,0.18206384267945092,models/molmo2/Molmo2-4B,molmo2,0.3445883001835701,depth,{'answered': 764},0.466779940536485,0.3446889848392286,764
1.0,800,0.5970599872594339,depth,800,0.323125,0.3125,0.10124603187498178,models/molmo2/Molmo2-4B,molmo2,0.1901789646010613,event,{'answered': 800},0.2862238553113553,0.19138197211985827,800
1.0,800,0.625855403387517,event,800,0.436875,0.4275,0.1411839550168667,models/molmo2/Molmo2-4B,molmo2,0.25874638755275536,event,{'answered': 800},0.3699219073498965,0.2597173696956125,800
1.0,800,0.6542354140712249,ir,800,0.496875,0.48375,0.15938731292383893,models/molmo2/Molmo2-4B,molmo2,0.29908115268905244,event,{'answered': 800},0.39734807942128914,0.29967639078429054,800
1.0,800,0.6490981186573139,rgb,800,0.524375,0.5075,0.16291340210676486,models/molmo2/Molmo2-4B,molmo2,0.2999571731867781,event,{'answered': 800},0.4128017178899532,0.30091550652011145,800
1.0,1500,0.3744973099827697,depth,1500,0.305,0.29933333333333334,0.0866059926866538,models/molmo2/Molmo2-4B,molmo2,0.16648975464063004,ir,{'answered': 1500},0.24728285065559094,0.1682238648954433,1500
1.0,1500,0.3984231618884955,event,1500,0.432,0.42,0.12576970788294814,models/molmo2/Molmo2-4B,molmo2,0.23843825358945744,ir,{'answered': 1500},0.320588940843203,0.24070478922887772,1500
1.0,1500,0.42002088219774103,ir,1500,0.5053333333333333,0.49066666666666664,0.14752210407722408,models/molmo2/Molmo2-4B,molmo2,0.2764926716648246,ir,{'answered': 1500},0.359807067563931,0.2789852326484283,1500
1.0,1500,0.4131997425530667,rgb,1500,0.507,0.4846666666666667,0.14972533170701058,models/molmo2/Molmo2-4B,molmo2,0.27537095897687924,ir,{'answered': 1500},0.35842978152790966,0.27866167125818725,1500
1.0,2267,0.3374257298333896,depth,2267,0.3153133274492498,0.3089143865842895,0.0806337168894603,models/molmo2/Molmo2-4B,molmo2,0.1555535595656927,rgb,{'answered': 2267},0.2621748813946415,0.15722014754485272,2267
1.0,2267,0.35071063009487513,event,2267,0.4090909090909091,0.3967343336275375,0.10369338183220343,models/molmo2/Molmo2-4B,molmo2,0.20078766170039916,rgb,{'answered': 2267},0.3162374062563286,0.20255689937954194,2267
1.0,2267,0.36270659091188295,ir,2267,0.47220996912218793,0.45831495368328184,0.1179899696647333,models/molmo2/Molmo2-4B,molmo2,0.22510967650140556,rgb,{'answered': 2267},0.34131425856858816,0.22728180493588493,2267
1.0,2267,0.3661683143225115,rgb,2267,0.5103798586572438,0.49337455830388693,0.13779109986041638,models/molmo2/Molmo2-4B,molmo2,0.24441794444590575,rgb,{'answered': 2267},0.3687432974293171,0.24731917615427054,2267
1.0,764,0.5520203215765761,depth,764,0.4489528795811518,0.43586387434554974,0.14545401665325663,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.29280156155500603,depth,{'answered': 764},0.3982953079191712,0.29280156155500603,764
1.0,764,0.572876516788665,event,764,0.5634816753926701,0.5445026178010471,0.18133708480834904,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.358662988709837,depth,{'answered': 764},0.5016936757250894,0.35914291890180905,764
1.0,764,0.5816377324168646,ir,764,0.6053664921465969,0.5890052356020943,0.19909943695206309,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.3866122943527187,depth,{'answered': 764},0.5311543869314606,0.3869031611357321,764
1.0,764,0.5849157796218013,rgb,764,0.6210732984293194,0.6073298429319371,0.2001547421425442,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.38588119512002605,depth,{'answered': 764},0.5429111096133692,0.38599501255685736,764
1.0,800,0.6570831675223986,depth,800,0.36375,0.34875,0.1324163574011403,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.25410160197989146,event,{'answered': 800},0.3220444902319902,0.25410160197989146,800
1.0,800,0.6847706021660704,event,800,0.531875,0.5075,0.17452509930643484,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.3252515072927949,event,{'answered': 800},0.4614830208061632,0.3258692575980452,800
1.0,800,0.6905215355312013,ir,800,0.590625,0.56875,0.19496579048587417,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.35241079136527553,event,{'answered': 800},0.4983508249791144,0.35376381334329754,800
1.0,800,0.694242993846043,rgb,800,0.5975,0.57125,0.19681983256309538,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.35654006685716244,event,{'answered': 800},0.5063171724109224,0.35717011736221294,800
1.0,1500,0.41996433520154364,depth,1500,0.43566666666666665,0.42,0.12823940919753937,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.25961126577126575,ir,{'answered': 1500},0.3417015468020112,0.26072211404465273,1500
1.0,1500,0.4291661498486302,event,1500,0.5256837891927952,0.5043362241494329,0.1503168510373273,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.29912728013131434,ir,{'answered': 1500},0.3974834290208795,0.3007286725458027,1500
1.0,1500,0.4405539773900724,ir,1500,0.61974649766511,0.5963975983989326,0.1682760026721583,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.3287720497997598,ir,{'answered': 1500},0.4620223526080512,0.33095849314347076,1500
1.0,1500,0.4413129001057845,rgb,1500,0.6103333333333333,0.5813333333333334,0.17278613772591628,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.328779177809219,ir,{'answered': 1500},0.45034753725875726,0.3317285494021496,1500
1.0,2267,0.35528614116380347,depth,2267,0.40295544772827524,0.3925893250992501,0.0960055374907881,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.2017166306314729,rgb,{'answered': 2267},0.3087526694517098,0.2026472121212214,2267
1.0,2267,0.3702093609049822,event,2267,0.47617997353330394,0.45787384208204673,0.11492487961125548,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.23009351816358606,rgb,{'answered': 2267},0.3591456594412639,0.2315012335285122,2267
1.0,2267,0.3749735706193378,ir,2267,0.5637687555163283,0.5428067078552515,0.12574492564242154,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.2527513188246288,rgb,{'answered': 2267},0.41029558529272137,0.2549737754919418,2267
1.0,2267,0.3804639003437347,rgb,2267,0.6008830022075056,0.5788079470198676,0.1436193164049609,models/qwen/Qwen3-VL-4B-Instruct,qwen_vl,0.27416412486445724,rgb,{'answered': 2267},0.4379013203494799,0.2769484967745702,2267
