anls,answer_rate,answered,bleu_4,character_f1,conciseness_violation_rate,frame_counts,incremental_peak_gpu_gb_max,judge_evaluated,judge_label_counts,judge_soft_accuracy,judge_strict_accuracy,judge_strict_accuracy_ci95,judge_unjudgeable_rate,latency_mean_seconds,latency_median_seconds,latency_p95_seconds,max_frames_per_item,meteor,modality,model_key,normalized_exact_match,peak_gpu_gb_max,repetition_rate,rouge_l_f1,status_counts,task_aware_score,task_aware_score_ci95,throughput_qa_per_hour,token_f1,token_f1_ci95,total
0.2231443420138023,1.0,764,0.5553417334147996,0.36903791923142687,0.0,[],13.868,764,"{""incorrect"": 416, ""correct"": 331, ""unjudgeable"": 1, ""partially_correct"": 16}",0.4442988204456094,0.4338138925294889,"{""mean"": 0.4338138925294889, ""low"": 0.399737876802097, ""high"": 0.4692005242463958}",0.0013089005235602095,3.563776832460733,3.1225,6.8066,[],0.1433750738836694,depth,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,0.21335078534031413,20.013,0.0,0.28625092398960583,"{""answered"": 764}",0.40205177312507157,"{""mean"": 0.40205177312507157, ""low"": 0.3690508589723249, ""high"": 0.43566275202400856}",1010.1642637129585,0.28690537425138596,"{""mean"": 0.28690537425138596, ""low"": 0.25977100996734503, ""high"": 0.3143769697434619}",764
0.2581426312662895,1.0,822,0.6715330554767449,0.40802940441312335,0.0072992700729927005,[],13.852,822,"{""incorrect"": 392, ""correct"": 389, ""partially_correct"": 41}",0.4981751824817518,0.4732360097323601,"{""mean"": 0.4732360097323601, ""low"": 0.4391727493917275, ""high"": 0.5072992700729927}",0.0,4.131108637469587,3.123,14.0071,[],0.1541737816114418,event,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,0.24087591240875914,19.997,0.00851581508515815,0.2932548390169046,"{""answered"": 822}",0.41903418965462763,"{""mean"": 0.41903418965462763, ""low"": 0.3834955393349554, ""high"": 0.45389294403892944}",871.4367778536782,0.2932548390169046,"{""mean"": 0.2932548390169046, ""low"": 0.26247633798292913, ""high"": 0.32333389413681385}",822
0.2036006306253562,1.0,1561,0.433978076416897,0.36433195253357464,0.0019218449711723255,[],13.86,1561,"{""correct"": 814, ""incorrect"": 684, ""partially_correct"": 63}",0.5416399743754003,0.521460602178091,"{""mean"": 0.521460602178091, ""low"": 0.4971172325432415, ""high"": 0.5458039718129404}",0.0,3.2606714285714284,3.1266,4.8045,[],0.1381215741931904,ir,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,0.18898142216527866,20.005,0.004484304932735426,0.27557375466448786,"{""answered"": 1561}",0.4066203058057945,"{""mean"": 0.4066203058057945, ""low"": 0.38351703728546743, ""high"": 0.4293669303330052}",1104.0670852190829,0.27665121390354075,"{""mean"": 0.27665121390354075, ""low"": 0.25725550917814693, ""high"": 0.2957955545348441}",1561
0.15625094003292853,1.0,2318,0.3765119319618052,0.32683664469228824,0.0008628127696289905,[],14.089,2318,"{""partially_correct"": 128, ""incorrect"": 1047, ""correct"": 1140, ""unjudgeable"": 3}",0.5200863930885529,0.4924406047516199,"{""mean"": 0.4924406047516199, ""low"": 0.47257019438444925, ""high"": 0.5127429805615551}",0.0012942191544434857,3.254184598792062,3.1229,3.4077,[],0.11705133995968799,rgb,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,0.14279551337359792,20.234,0.001725625539257981,0.23773383077453125,"{""answered"": 2318}",0.3852877448462036,"{""mean"": 0.3852877448462036, ""low"": 0.36724911131480764, ""high"": 0.40539582550724573}",1106.267911579541,0.23850715465080233,"{""mean"": 0.23850715465080233, ""low"": 0.22436504846147523, ""high"": 0.2521629460527118}",2318
0.22680009992990097,1.0,764,0.5561386925750451,0.38267783275492406,0.002617801047120419,[],5.247,764,"{""correct"": 335, ""incorrect"": 418, ""partially_correct"": 11}",0.4456806282722513,0.43848167539267013,"{""mean"": 0.43848167539267013, ""low"": 0.4031413612565445, ""high"": 0.4712041884816754}",0.0,3.537815837696335,2.1724,11.1241,[],0.14748427060083996,depth,molmo2:Molmo2-8B:video:75b77e1d,0.2094240837696335,21.389,0.002617801047120419,0.29716664888692385,"{""answered"": 764}",0.41223639614725316,"{""mean"": 0.41223639614725316, ""low"": 0.37837511528611006, ""high"": 0.44532574755087845}",1017.5769924598899,0.2975134515897475,"{""mean"": 0.2975134515897475, ""low"": 0.2694207398012181, ""high"": 0.3241610248041804}",764
0.23998487951190936,1.0,822,0.6393299442779486,0.43482326919840963,0.01338199513381995,[],5.247,822,"{""incorrect"": 416, ""correct"": 375, ""partially_correct"": 31}",0.4750608272506083,0.4562043795620438,"{""mean"": 0.4562043795620438, ""low"": 0.4197080291970803, ""high"": 0.4878345498783455}",0.0,5.780497810218978,2.2169,21.6255,[],0.15792343490399866,event,molmo2:Molmo2-8B:video:75b77e1d,0.22871046228710462,21.389,0.0072992700729927005,0.28496671200084683,"{""answered"": 822}",0.40546488520941076,"{""mean"": 0.40546488520941076, ""low"": 0.3726682887266829, ""high"": 0.43574632315508227}",622.7837321615767,0.28618900989124263,"{""mean"": 0.28618900989124263, ""low"": 0.2566389573087727, ""high"": 0.31289954658353114}",822
0.18395720820388667,1.0,1561,0.4259540422125241,0.3411072103212121,0.007687379884689302,[],5.255,1561,"{""correct"": 759, ""incorrect"": 746, ""partially_correct"": 55, ""unjudgeable"": 1}",0.5041666666666667,0.48653846153846153,"{""mean"": 0.48653846153846153, ""low"": 0.46153846153846156, ""high"": 0.5108974358974359}",0.0006406149903907751,2.5830107623318384,2.1708,5.6262,[],0.1262672325341444,ir,molmo2:Molmo2-8B:video:75b77e1d,0.1672005124919923,21.389,0.008327994875080076,0.2496385702436992,"{""answered"": 1561}",0.367415315230225,"{""mean"": 0.367415315230225, ""low"": 0.34339432080941146, ""high"": 0.389331652375688}",1393.722415910521,0.2510592402275644,"{""mean"": 0.2510592402275644, ""low"": 0.2322549716358132, ""high"": 0.2679991538373464}",1561
0.15563162247803736,1.0,2318,0.365139865150335,0.35613659648221685,0.012510785159620362,[],5.255,2318,"{""incorrect"": 1094, ""correct"": 1114, ""partially_correct"": 110}",0.5043140638481449,0.48058671268334774,"{""mean"": 0.48058671268334774, ""low"": 0.46074201898188094, ""high"": 0.5}",0.0,2.733680198446937,2.1819,7.658,[],0.12000120952561084,rgb,molmo2:Molmo2-8B:video:75b77e1d,0.13891285591026747,21.389,0.007333908541846419,0.23019860635145706,"{""answered"": 2318}",0.36897059956217615,"{""mean"": 0.36897059956217615, ""low"": 0.3506654324013779, ""high"": 0.3865001358458629}",1316.906052889891,0.23179693038155366,"{""mean"": 0.23179693038155366, ""low"": 0.2186360165291355, ""high"": 0.24523561559071075}",2318
0.23350494676632766,1.0,764,0.5409037215702516,0.3614936970382306,0.017015706806282723,[],7.209,764,"{""correct"": 340, ""incorrect"": 409, ""partially_correct"": 15}",0.4548429319371728,0.44502617801047123,"{""mean"": 0.44502617801047123, ""low"": 0.412303664921466, ""high"": 0.4790575916230366}",0.0,6.66757552356021,6.4437,8.2881,[],0.1456215801387128,depth,qwen_vl:Qwen3-VL-8B-Instruct:video:456be4f1,0.21858638743455497,13.484,0.002617801047120419,0.29714098296631536,"{""answered"": 764}",0.4046590241173892,"{""mean"": 0.4046590241173892, ""low"": 0.37175925724820924, ""high"": 0.4374259741106844}",539.9263926264078,0.29740350256284864,"{""mean"": 0.29740350256284864, ""low"": 0.26906231351798165, ""high"": 0.32475712707044574}",764
0.284361543738168,1.0,822,0.6757574689421019,0.43788077528092584,0.009732360097323601,[],7.208,822,"{""partially_correct"": 33, ""correct"": 431, ""incorrect"": 358}",0.5444038929440389,0.524330900243309,"{""mean"": 0.524330900243309, ""low"": 0.4902676399026764, ""high"": 0.5571776155717761}",0.0,6.848840632603406,6.4445,10.4681,[],0.1744190018214193,event,qwen_vl:Qwen3-VL-8B-Instruct:video:456be4f1,0.2712895377128954,13.483,0.0024330900243309003,0.33663553855564093,"{""answered"": 822}",0.4545558928770608,"{""mean"": 0.4545558928770608, ""low"": 0.42374501005887866, ""high"": 0.48723602026521734}",525.63640959354,0.33730670110577693,"{""mean"": 0.33730670110577693, ""low"": 0.3068327867832016, ""high"": 0.36648649469005634}",822
