answer_rate,benchmark_type,bleu_4,frame_counts,input_type,judge_evaluated,judge_soft_accuracy,judge_strict_accuracy,judge_unjudgeable_rate,max_frames_per_item,meteor,modality,model_key,model_name,provider,rouge_l_f1,section
1.0,,0.34071568607054276,[],,429,0.5594405594405595,0.5011655011655012,0.0,[],0.1294925646931469,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.25744840043482575,action
1.0,,0.5379335435634462,[],,450,0.5555555555555556,0.5555555555555556,0.0,[],0.041905075599946724,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.0920648770022584,counting
1.0,,0.5464114644777803,[],,151,0.39403973509933776,0.36423841059602646,0.0,[],0.15082371554118723,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.2712610053669656,depth_action
1.0,,0.5676210679298217,[],,103,0.1941747572815534,0.1941747572815534,0.0,[],0.023672588552472413,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.05275080906148867,depth_counting
1.0,,0.7079810803671589,[],,118,0.48717948717948717,0.48717948717948717,0.00847457627118644,[],0.10013380909901873,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.2062146892655367,depth_dynamic_counting
1.0,,0.6211521289241754,[],,131,0.37404580152671757,0.37404580152671757,0.0,[],0.1601395386618114,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.3236822973464195,depth_dynamic_recognition
1.0,,0.3306993418255667,[],,53,0.6509433962264151,0.6415094339622641,0.0,[],0.16410173708271805,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.36765498652291106,depth_navigation
1.0,,0.7850661410776194,[],,56,0.8392857142857143,0.8392857142857143,0.0,[],0.36097565561851275,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.7423469387755102,depth_non_common
1.0,,0.42711879154930354,[],,49,0.16326530612244897,0.12244897959183673,0.0,[],0.056102255585338295,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.08945578231292517,depth_object_recognition
1.0,,0.336828622131226,[],,53,0.660377358490566,0.6415094339622641,0.0,[],0.18642311474156112,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.3878776667899864,depth_scene_sequence
1.0,,0.36247560095252346,[],,50,0.58,0.58,0.0,[],0.19980730712225805,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.39136507936507936,depth_spatial_reasoning
1.0,,0.6138346735532281,[],,449,0.643652561247216,0.6391982182628062,0.0,[],0.1421123911234595,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.2960814488654132,dynamic_counting
1.0,,0.4466175842589773,[],,322,0.4922360248447205,0.4720496894409938,0.0,[],0.15129311901663645,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.31961343775373735,dynamic_recognition
1.0,,0.6083980271623873,[],,155,0.45806451612903226,0.4129032258064516,0.0,[],0.1578749934169672,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.2834054834054834,event_action
1.0,,0.8068814827848249,[],,139,0.5755395683453237,0.5755395683453237,0.0,[],0.05755395683453238,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.11510791366906475,event_counting
1.0,,0.8318903453823306,[],,130,0.47307692307692306,0.46923076923076923,0.0,[],0.055870445344129556,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.11282051282051282,event_dynamic_counting
1.0,,0.7496070768399747,[],,123,0.5284552845528455,0.5284552845528455,0.0,[],0.25895109936321037,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.5195121951219512,event_dynamic_recognition
1.0,,0.4402057400218398,[],,54,0.35185185185185186,0.2777777777777778,0.0,[],0.12893737151529738,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.2441798941798942,event_navigation
1.0,,0.8901742979831483,[],,57,0.9210526315789473,0.9122807017543859,0.0,[],0.4248967012124907,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.8614035087719298,event_non_common
1.0,,0.5112387075311471,[],,54,0.37962962962962965,0.3148148148148148,0.0,[],0.12288848918272693,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.24938271604938272,event_object_recognition
1.0,,0.32740126271883657,[],,55,0.20909090909090908,0.12727272727272726,0.0,[],0.05402316139972879,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.09578370790039718,event_scene_sequence
1.0,,0.45580966056667294,[],,55,0.5181818181818182,0.509090909090909,0.0,[],0.2610381648140572,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.39164502164502163,event_spatial_reasoning
1.0,,0.4444660590782202,[],,464,0.47413793103448276,0.47198275862068967,0.0,[],0.1379807832524614,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.2956881850590787,light_change
1.0,,0.2753805591994507,[],,106,0.5377358490566038,0.5,0.0,[],0.11552324159789557,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.2182586019850171,light_recognition
1.0,,0.3153002486717368,[],,438,0.4416475972540046,0.42105263157894735,0.00228310502283105,[],0.11642837507974294,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.23426374786165277,navigation
1.0,,0.3330077967871563,[],,124,0.8658536585365854,0.8455284552845529,0.008064516129032258,[],0.2014545612089544,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.43345843883082974,non_common
1.0,,0.34267024743163577,[],,101,0.4603960396039604,0.37623762376237624,0.0,[],0.12071702951254516,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.23922960455574815,object_recognition
1.0,,0.254485142656979,[],,480,0.459375,0.40208333333333335,0.0,[],0.10261886634980596,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.21364256073884058,scene_sequence
1.0,,0.24584989887478123,[],,101,0.5495049504950495,0.5247524752475248,0.0,[],0.2895529617657046,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.39874207915467147,spatial_reasoning
1.0,,0.3521065335664454,[],,415,0.5144927536231884,0.4975845410628019,0.0024096385542168677,[],0.1374927114473104,,internvl:InternVL3_5-8B-Instruct:video:eca02b0a,,,0.2646562119666301,text_recognition
1.0,,0.3470642015904548,[],,429,0.6188811188811189,0.5757575757575758,0.0,[],0.146635203093373,,molmo2:Molmo2-8B:video:75b77e1d,,,0.2869610251549204,action
1.0,,0.4396009556083836,[],,450,0.5423162583518931,0.5412026726057907,0.0022222222222222222,[],0.04271047367619601,,molmo2:Molmo2-8B:video:75b77e1d,,,0.07964799807757358,counting
1.0,,0.571966968457155,[],,151,0.39403973509933776,0.3708609271523179,0.0,[],0.1528294798170435,,molmo2:Molmo2-8B:video:75b77e1d,,,0.28880593091119405,depth_action
1.0,,0.5544437321449353,[],,103,0.20388349514563106,0.20388349514563106,0.0,[],0.03494699819913517,,molmo2:Molmo2-8B:video:75b77e1d,,,0.06768457891171822,depth_counting
1.0,,0.6450587865613263,[],,118,0.3389830508474576,0.3389830508474576,0.0,[],0.08532188522152839,,molmo2:Molmo2-8B:video:75b77e1d,,,0.1683817594834544,depth_dynamic_counting
1.0,,0.6309605721030823,[],,131,0.44274809160305345,0.44274809160305345,0.0,[],0.1826934588402796,,molmo2:Molmo2-8B:video:75b77e1d,,,0.367739003998546,depth_dynamic_recognition
1.0,,0.33438730992006294,[],,53,0.6226415094339622,0.6226415094339622,0.0,[],0.15749172757118754,,molmo2:Molmo2-8B:video:75b77e1d,,,0.35390835579514823,depth_navigation
1.0,,0.7827306081871829,[],,56,0.8392857142857143,0.8392857142857143,0.0,[],0.3487204156847014,,molmo2:Molmo2-8B:video:75b77e1d,,,0.7227040816326531,depth_non_common
1.0,,0.5306487369505053,[],,49,0.24489795918367346,0.22448979591836735,0.0,[],0.09298019753302986,,molmo2:Molmo2-8B:video:75b77e1d,,,0.1469741143210531,depth_object_recognition
1.0,,0.3296496044782475,[],,53,0.6981132075471698,0.6792452830188679,0.0,[],0.19368844511432984,,molmo2:Molmo2-8B:video:75b77e1d,,,0.40934411500449236,depth_scene_sequence
1.0,,0.3522762817493599,[],,50,0.66,0.66,0.0,[],0.18606885596292208,,molmo2:Molmo2-8B:video:75b77e1d,,,0.4057142857142857,depth_spatial_reasoning
1.0,,0.5855683300132598,[],,449,0.6146993318485523,0.6080178173719376,0.0,[],0.13163900743242135,,molmo2:Molmo2-8B:video:75b77e1d,,,0.2674628191816146,dynamic_counting
