anls,answer_length_chars,baseline_gpu_gb,benchmark_type,bleu_4,boolean_accuracy,character_f1,conciseness_violation,frame_count,ground_truth_answer,incremental_peak_gpu_gb,input_type,judge_error_type,judge_label,judge_model,judge_reason,judge_score,latency_seconds,max_frames_per_item,meteor,modality,model_answer,model_key,model_name,normalized_exact_match,numeric_accuracy,pair_key,peak_gpu_gb,provider,qa_id,question,reason,record_id,repetition_flag,repetition_ratio,rouge_l_f1,section,sequence_order_score,set_f1,source_path,status,task_aware_metric,task_aware_reason,task_aware_score,token_f1,token_precision,token_recall
0.0,4,6.137,shared_balanced_frame_count_smoke_v1,0.1353352832366127,,0.33333333333333337,False,8,A blue raindrop pattern.,2.091,frame,missing_detail,partially_correct,gemini-3.1-flash-lite,Answered the color but missed the pattern detail.,0.5,1.4442,,0.17857142857142855,rgb,blue,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.228,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__object_recognition__01,What is the pattern on the white teacup located to the left of the tea tray?,,227355c2b61238535806384d,False,0.0,0.5,object_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,token_f1,General open-ended short answer.,0.5,0.5,1.0,0.3333333333333333
0.0,7,6.146,shared_balanced_frame_count_smoke_v1,0.36787944117144233,,0.6,False,8,A ceramic teapot.,2.084,frame,none,correct,gemini-3.1-flash-lite,Semantically equivalent.,1.0,1.1673,,0.2631578947368421,ir,Teapot.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/ir,8.23,internvl,ir__aligned_dataset_brew_tea_split_seg1_ir__object_recognition__01,What is the specific object located on the heating plate between the patterned cup and the electric kettle?,,abb0bdbe40173cc13be5af11,False,0.0,0.6666666666666666,object_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,token_f1,General open-ended short answer.,0.6666666666666666,0.6666666666666666,1.0,0.5
0.0,8,6.146,shared_balanced_frame_count_smoke_v1,0.38753858253732953,,0.45454545454545453,False,8,A kettle and teapot.,2.068,frame,none,correct,gemini-3.1-flash-lite,General term for the items described.,1.0,1.2125,,0.0,event,Tea set.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/event,8.214,internvl,event__aligned_dataset_brew_tea_split_seg1_event__event_object_recognition__01,What primary items are being manipulated on the table?,,1301414247d27783d28b8719,False,0.0,0.0,event_object_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,set_f1,Ground truth contains multiple concepts.,0.0,0.0,0.0,0.0
0.0,8,6.146,shared_balanced_frame_count_smoke_v1,0.8408964152537145,,0.26666666666666666,False,8,A doorway.,2.084,frame,contradiction,incorrect,gemini-3.1-flash-lite,Contradicts the ground truth.,0.0,1.1548,,0.0,depth,Mailbox.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,check_mailbox_split/Seg1/check_mailbox,8.23,internvl,depth__check_mailbox_split_seg1_check_mailbox__depth_object_recognition__01,What is the primary geometric structure visible that connects two distinct spaces?,,657df1759c3cd30adf55d62b,False,0.0,0.0,depth_object_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,token_f1,General open-ended short answer.,0.0,0.0,0.0,0.0
0.0,37,6.137,shared_balanced_frame_count_smoke_v1,0.2730120862709067,,0.6785714285714285,False,8,It is located behind the teacup.,2.085,frame,contradiction,incorrect,gemini-3.1-flash-lite,Wrong spatial location.,0.0,1.5937,,0.1,rgb,To the right of the patterned teacup.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.222,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__spatial_reasoning__01,Where is the glass jar located relative to the patterned teacup?,,e5991ca3591bd15897fbc6fc,False,0.0,0.20000000000000004,spatial_reasoning,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,token_f1,General open-ended short answer.,0.20000000000000004,0.20000000000000004,0.2,0.2
0.0,4,6.146,shared_balanced_frame_count_smoke_v1,0.8408964152537145,,0.25,False,8,KEEP.,2.074,frame,wrong_entity,incorrect,gemini-3.1-flash-lite,Wrong word.,0.0,1.1427,,0.0,rgb,Milk,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.22,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__01,What word is visible on one of the containers in the red basket?,,716071acb4fc99ee28316bff,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
0.0,4,6.146,shared_balanced_frame_count_smoke_v1,0.8408964152537145,,0.0,False,8,96.,2.082,frame,other,incorrect,gemini-3.1-flash-lite,Wrong temperature value.,0.0,1.2107,,0.0,rgb,582.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,8.228,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__02,What is the temperature shown on the digital display in frame 000600?,,8e35b5da72622a04feeceb17,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
0.0,4,6.146,shared_balanced_frame_count_smoke_v1,0.8408964152537145,,0.25,False,8,LOVE.,2.077,frame,wrong_entity,incorrect,gemini-3.1-flash-lite,Wrong word.,0.0,1.1315,,0.0,rgb,Milk,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.224,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__03,What word is visible on another container near the first one in the red basket?,,f1efa2d954e4f378085812a7,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
1.0,7,6.146,shared_balanced_frame_count_smoke_v1,1.0,,1.0,False,8,Chinese.,2.069,frame,none,correct,gemini-3.1-flash-lite,Matches ground truth.,1.0,1.1315,,0.5,rgb,Chinese,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.216,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__04,What language are the characters on the tea tray in?,,0e7feb4607dd32eec20f3c36,False,0.0,1.0,text_recognition,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,anls,Text-recognition answer.,1.0,1.0,1.0,1.0
0.0,5,6.146,shared_balanced_frame_count_smoke_v1,0.6389431042462724,,0.0,False,8,95.,2.076,frame,other,incorrect,gemini-3.1-flash-lite,Wrong temperature.,0.0,1.235,,0.0,rgb,100.0,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,8.222,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__05,What is the temperature reading in frame 000690?,,f659704f440372ce08ec13c2,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
