anls,answer_rate,answered,bleu_4,character_f1,conciseness_violation_rate,frame_counts,incremental_peak_gpu_gb_max,judge_evaluated,judge_label_counts,judge_soft_accuracy,judge_strict_accuracy,judge_strict_accuracy_ci95,judge_unjudgeable_rate,latency_mean_seconds,latency_median_seconds,latency_p95_seconds,max_frames_per_item,meteor,model_key,normalized_exact_match,peak_gpu_gb_max,repetition_rate,rouge_l_f1,section,status_counts,task_aware_score,task_aware_score_ci95,throughput_qa_per_hour,token_f1,token_f1_ci95,total
0.14769355179905772,1.0,1668,0.3150590277040873,0.4798283049164799,0.07074340527577938,[8],4.839,1668,"{""incorrect"": 801, ""correct"": 755, ""partially_correct"": 110, ""unjudgeable"": 2}",0.48619447779111646,0.4531812725090036,"{""mean"": 0.4531812725090036, ""low"": 0.42857142857142855, ""high"": 0.4789915966386555}",0.001199040767386091,2.4262001199040766,2.3208,3.1366,[],0.1471869442835412,molmo2:Molmo2-4B:frame:6f7c0530,0.1223021582733813,13.883,0.004196642685851319,0.2542173807684727,action,"{""answered"": 1668}",0.3034791182831919,"{""mean"": 0.3034791182831919, ""low"": 0.2842808900980236, ""high"": 0.3227554569533663}",1483.801756691997,0.2580127020593684,"{""mean"": 0.2580127020593684, ""low"": 0.24200598809545143, ""high"": 0.27373783251855144}",1668
0.03709970121001814,1.0,1744,0.5119850290579219,0.06250608578288452,0.00974770642201835,[8],4.839,1744,"{""incorrect"": 1157, ""correct"": 580, ""partially_correct"": 7}",0.3345756880733945,0.33256880733944955,"{""mean"": 0.33256880733944955, ""low"": 0.30905963302752293, ""high"": 0.35493119266055045}",0.0,2.301912213302752,2.2802,2.304,[],0.02938083212333901,molmo2:Molmo2-4B:frame:6f7c0530,0.034977064220183485,13.883,0.0022935779816513763,0.06021026456274562,counting,"{""answered"": 1744}",0.3348623853211009,"{""mean"": 0.3348623853211009, ""low"": 0.3125, ""high"": 0.3572247706422018}",1563.917155135456,0.060387267540840554,"{""mean"": 0.060387267540840554, ""low"": 0.05097719836235282, ""high"": 0.06982711083543351}",1744
0.3251628428700628,1.0,604,0.5638109623220016,0.5792367032366298,0.014900662251655629,[8],4.839,604,"{""incorrect"": 260, ""correct"": 324, ""partially_correct"": 20}",0.5529801324503312,0.5364238410596026,"{""mean"": 0.5364238410596026, ""low"": 0.4966887417218543, ""high"": 0.5761589403973509}",0.0,2.346905298013245,2.2958,2.6167,[],0.22578950264153658,molmo2:Molmo2-4B:frame:6f7c0530,0.2897350993377483,13.883,0.0033112582781456954,0.3802300461412111,depth_action,"{""answered"": 604}",0.41656741724269347,"{""mean"": 0.41656741724269347, ""low"": 0.38084465712304866, ""high"": 0.4549107862460776}",1533.934924024225,0.3809647516382851,"{""mean"": 0.3809647516382851, ""low"": 0.3459907229836766, ""high"": 0.4189767880399084}",604
0.0638002773925104,1.0,412,0.5511911559899145,0.08870745418021034,0.02669902912621359,[8],4.839,412,"{""incorrect"": 324, ""correct"": 88}",0.21359223300970873,0.21359223300970873,"{""mean"": 0.21359223300970873, ""low"": 0.17475728155339806, ""high"": 0.25485436893203883}",0.0,2.3426007281553396,2.2805,2.3024,[],0.043180629827264054,molmo2:Molmo2-4B:frame:6f7c0530,0.05825242718446602,13.883,0.0,0.09162314428219123,depth_counting,"{""answered"": 412}",0.220873786407767,"{""mean"": 0.220873786407767, ""low"": 0.1820388349514563, ""high"": 0.2621359223300971}",1536.7535563069632,0.09162314428219123,"{""mean"": 0.09162314428219123, ""low"": 0.06593580374729012, ""high"": 0.11840307955727214}",412
0.11864406779661017,1.0,472,0.6772417934591715,0.12654147554483405,0.012711864406779662,[8],4.839,472,"{""correct"": 209, ""incorrect"": 258, ""partially_correct"": 5}",0.4480932203389831,0.4427966101694915,"{""mean"": 0.4427966101694915, ""low"": 0.4004237288135593, ""high"": 0.4894067796610169}",0.0,2.301726059322034,2.2802,2.299,[],0.06437001229597127,molmo2:Molmo2-4B:frame:6f7c0530,0.11864406779661017,13.883,0.0,0.13192090395480227,depth_dynamic_counting,"{""answered"": 472}",0.413135593220339,"{""mean"": 0.413135593220339, ""low"": 0.3707627118644068, ""high"": 0.4576271186440678}",1564.043638216604,0.13192090395480227,"{""mean"": 0.13192090395480227, ""low"": 0.10324858757062147, ""high"": 0.16200564971751413}",472
0.3578202209379389,1.0,524,0.5796875151223305,0.48011327789859115,0.009541984732824428,[8],4.839,524,"{""incorrect"": 260, ""correct"": 258, ""partially_correct"": 6}",0.49809160305343514,0.49236641221374045,"{""mean"": 0.49236641221374045, ""low"": 0.4484732824427481, ""high"": 0.5343511450381679}",0.0,2.3085076335877863,2.2835,2.4446,[],0.19512202171996654,molmo2:Molmo2-4B:frame:6f7c0530,0.32061068702290074,13.883,0.0,0.40047558463589,depth_dynamic_recognition,"{""answered"": 524}",0.4535623409669211,"{""mean"": 0.4535623409669211, ""low"": 0.4129770992366412, ""high"": 0.49662849872773535}",1559.449034355163,0.40047558463589,"{""mean"": 0.40047558463589, ""low"": 0.36298315763964617, ""high"": 0.4415227795952987}",524
0.2225557461406518,1.0,212,0.3391300430210372,0.4396791717384036,0.018867924528301886,[8],4.839,212,"{""correct"": 135, ""incorrect"": 77}",0.6367924528301887,0.6367924528301887,"{""mean"": 0.6367924528301887, ""low"": 0.5707547169811321, ""high"": 0.7028301886792453}",0.0,2.3059849056603774,2.2812,2.3587,[],0.1962949642840554,molmo2:Molmo2-4B:frame:6f7c0530,0.21226415094339623,13.883,0.0,0.3851818386627847,depth_navigation,"{""answered"": 212}",0.5518867924528302,"{""mean"": 0.5518867924528302, ""low"": 0.4858490566037736, ""high"": 0.6179245283018868}",1561.1550583714898,0.3851818386627847,"{""mean"": 0.3851818386627847, ""low"": 0.33514384653509893, ""high"": 0.4381274970847432}",212
0.4017857142857143,1.0,224,0.46728164237770087,0.4807051890487965,0.18303571428571427,[8],4.839,224,"{""correct"": 111, ""incorrect"": 112, ""partially_correct"": 1}",0.49776785714285715,0.4955357142857143,"{""mean"": 0.4955357142857143, ""low"": 0.42857142857142855, ""high"": 0.5580357142857143}",0.0,2.518292410714286,2.2896,3.4313,[],0.22506904339483746,molmo2:Molmo2-4B:frame:6f7c0530,0.4017857142857143,13.883,0.004464285714285714,0.44655922683893645,depth_non_common,"{""answered"": 224}",0.49644955738705737,"{""mean"": 0.49644955738705737, ""low"": 0.4293612637362637, ""high"": 0.5625}",1429.5401060986799,0.44655922683893645,"{""mean"": 0.44655922683893645, ""low"": 0.38532020921404925, ""high"": 0.5086873691784406}",224
0.12403594978364016,1.0,196,0.44975383080086145,0.3945633154126059,0.07653061224489796,[8],4.847,196,"{""correct"": 64, ""incorrect"": 118, ""partially_correct"": 13, ""unjudgeable"": 1}",0.36153846153846153,0.3282051282051282,"{""mean"": 0.3282051282051282, ""low"": 0.26666666666666666, ""high"": 0.38974358974358975}",0.00510204081632653,2.4361147959183675,2.3522,3.154,[],0.12874427566898905,molmo2:Molmo2-4B:frame:6f7c0530,0.09183673469387756,13.883,0.015306122448979591,0.1919280443331726,depth_object_recognition,"{""answered"": 196}",0.19706481251905872,"{""mean"": 0.19706481251905872, ""low"": 0.14354667715431377, ""high"": 0.2505390593606525}",1477.762873092715,0.19306183118124515,"{""mean"": 0.19306183118124515, ""low"": 0.14456708531757906, ""high"": 0.24125167896786714}",196
0.16533937760352854,1.0,212,0.3005684848795271,0.36871245179409906,0.05660377358490566,[8],4.839,212,"{""incorrect"": 99, ""correct"": 111, ""partially_correct"": 2}",0.5283018867924528,0.5235849056603774,"{""mean"": 0.5235849056603774, ""low"": 0.45754716981132076, ""high"": 0.5943396226415094}",0.0,2.3542589622641508,2.2821,2.7096,[],0.1543504886385064,molmo2:Molmo2-4B:frame:6f7c0530,0.16037735849056603,13.883,0.018867924528301886,0.31995699443812653,depth_scene_sequence,"{""answered"": 212}",0.46226415094339623,"{""mean"": 0.46226415094339623, ""low"": 0.39622641509433965, ""high"": 0.5330188679245284}",1529.1435894281517,0.31995699443812653,"{""mean"": 0.31995699443812653, ""low"": 0.2703619231921119, ""high"": 0.3713364762421366}",212
