anls,answer_rate,answered,character_f1,conciseness_violation_rate,incremental_peak_gpu_gb_max,judge_evaluated,judge_label_counts,judge_soft_accuracy,judge_strict_accuracy,judge_strict_accuracy_ci95,judge_unjudgeable_rate,latency_mean_seconds,latency_median_seconds,latency_p95_seconds,model_key,normalized_exact_match,peak_gpu_gb_max,repetition_rate,rouge_l_f1,section,status_counts,task_aware_score,task_aware_score_ci95,throughput_qa_per_hour,token_f1,token_f1_ci95,total
0.2020854190768834,1.0,429,0.5140767260502894,0.009324009324009324,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.15384615384615385,,0.0,0.33945575922412474,action,"{""answered"": 429}",0.39275238946439955,"{""mean"": 0.39275238946439955, ""low"": 0.35537015699783964, ""high"": 0.43277153322969575}",,0.34113017451433597,"{""mean"": 0.34113017451433597, ""low"": 0.31041605757771945, ""high"": 0.3764709603664766}",429
0.07256038647342995,1.0,450,0.09422538670914729,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.07111111111111111,,0.0,0.10477739904811378,counting,"{""answered"": 450}",0.5666666666666667,"{""mean"": 0.5666666666666667, ""low"": 0.5222222222222223, ""high"": 0.6133333333333333}",,0.10477739904811378,"{""mean"": 0.10477739904811378, ""low"": 0.08036319161429852, ""high"": 0.13072423717964515}",450
0.2903841258083417,1.0,151,0.5431555625430015,0.006622516556291391,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.25165562913907286,,0.0,0.3198998497473955,depth_action,"{""answered"": 151}",0.34009852524408424,"{""mean"": 0.34009852524408424, ""low"": 0.2691350592012844, ""high"": 0.40511560817075537}",,0.3198998497473955,"{""mean"": 0.3198998497473955, ""low"": 0.25226434473483134, ""high"": 0.3825297938456591}",151
0.019417475728155338,1.0,103,0.03637236549857909,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.019417475728155338,,0.0,0.02912621359223301,depth_counting,"{""answered"": 103}",0.0970873786407767,"{""mean"": 0.0970873786407767, ""low"": 0.04854368932038835, ""high"": 0.1553398058252427}",,0.02912621359223301,"{""mean"": 0.02912621359223301, ""low"": 0.0048543689320388345, ""high"": 0.06310679611650485}",103
0.17372881355932204,1.0,118,0.1950436569080637,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.1694915254237288,,0.0,0.20338983050847456,depth_dynamic_counting,"{""answered"": 118}",0.4576271186440678,"{""mean"": 0.4576271186440678, ""low"": 0.3728813559322034, ""high"": 0.5508474576271186}",,0.20338983050847456,"{""mean"": 0.20338983050847456, ""low"": 0.1384180790960452, ""high"": 0.2796610169491525}",118
0.3701187790380237,1.0,131,0.48810312762651453,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.3435114503816794,,0.0,0.4039076699382043,depth_dynamic_recognition,"{""answered"": 131}",0.45321701199563796,"{""mean"": 0.45321701199563796, ""low"": 0.3707742639040349, ""high"": 0.535659760087241}",,0.4039076699382043,"{""mean"": 0.4039076699382043, ""low"": 0.3271901126862959, ""high"": 0.47795347146492184}",131
0.16037735849056603,1.0,53,0.39107652709348767,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.16981132075471697,,0.0,0.32551662174303686,depth_navigation,"{""answered"": 53}",0.5283018867924528,"{""mean"": 0.5283018867924528, ""low"": 0.39622641509433965, ""high"": 0.660377358490566}",,0.32551662174303686,"{""mean"": 0.32551662174303686, ""low"": 0.23333333333333334, ""high"": 0.4238993710691824}",53
0.7857142857142857,1.0,56,0.8320599375642067,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.7857142857142857,,0.0,0.8566326530612245,depth_non_common,"{""answered"": 56}",0.9642857142857143,"{""mean"": 0.9642857142857143, ""low"": 0.9107142857142857, ""high"": 1.0}",,0.8566326530612245,"{""mean"": 0.8566326530612245, ""low"": 0.7790816326530612, ""high"": 0.9267857142857143}",56
0.052597850734496694,1.0,49,0.3655430794797441,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.04081632653061224,,0.0,0.07023809523809524,depth_object_recognition,"{""answered"": 49}",0.06258503401360545,"{""mean"": 0.06258503401360545, ""low"": 0.00816326530612245, ""high"": 0.1306122448979592}",,0.07023809523809524,"{""mean"": 0.07023809523809524, ""low"": 0.015816326530612244, ""high"": 0.1369047619047619}",49
0.1575594217103651,1.0,53,0.3477504718382213,0.03773584905660377,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.1509433962264151,,0.018867924528301886,0.36225311706940305,depth_scene_sequence,"{""answered"": 53}",0.5660377358490566,"{""mean"": 0.5660377358490566, ""low"": 0.4339622641509434, ""high"": 0.6981132075471698}",,0.36225311706940305,"{""mean"": 0.36225311706940305, ""low"": 0.27377248151826106, ""high"": 0.4551142005958292}",53
0.13884615384615384,1.0,50,0.4027247497895851,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.12,,0.0,0.3057435897435897,depth_spatial_reasoning,"{""answered"": 50}",0.41174358974358977,"{""mean"": 0.41174358974358977, ""low"": 0.28933333333333333, ""high"": 0.5293333333333333}",,0.3057435897435897,"{""mean"": 0.3057435897435897, ""low"": 0.20266666666666666, ""high"": 0.40107692307692305}",50
0.3015472980893213,1.0,449,0.33028130352738205,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.29398663697104677,,0.0,0.33083737593759865,dynamic_counting,"{""answered"": 449}",0.629790798164963,"{""mean"": 0.629790798164963, ""low"": 0.5860849370871642, ""high"": 0.674334228009061}",,0.33083737593759865,"{""mean"": 0.33083737593759865, ""low"": 0.2897034789016972, ""high"": 0.37498619915100984}",449
0.31405806817934484,1.0,322,0.47725665709927856,0.003105590062111801,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.30434782608695654,,0.0,0.38720051182717874,dynamic_recognition,"{""answered"": 322}",0.49320057961362307,"{""mean"": 0.49320057961362307, ""low"": 0.44081664539739074, ""high"": 0.5445129921837997}",,0.38720051182717874,"{""mean"": 0.38720051182717874, ""low"": 0.3385518176748971, ""high"": 0.42951528799957966}",322
0.326853901466555,1.0,155,0.5807085648339742,0.012903225806451613,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.2645161290322581,,0.0,0.3840424626612723,event_action,"{""answered"": 155}",0.3933614590770429,"{""mean"": 0.3933614590770429, ""low"": 0.32719391618528376, ""high"": 0.45969278033794164}",,0.3840424626612723,"{""mean"": 0.3840424626612723, ""low"": 0.3182846902201741, ""high"": 0.45007420869301834}",155
0.10431654676258993,1.0,139,0.10431654676258993,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.10071942446043165,,0.0,0.10071942446043165,event_counting,"{""answered"": 139}",0.5179856115107914,"{""mean"": 0.5179856115107914, ""low"": 0.4316546762589928, ""high"": 0.5971223021582733}",,0.10071942446043165,"{""mean"": 0.10071942446043165, ""low"": 0.05755395683453238, ""high"": 0.1510791366906475}",139
0.12307692307692308,1.0,130,0.12307692307692308,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.12307692307692308,,0.0,0.12307692307692308,event_dynamic_counting,"{""answered"": 130}",0.5923076923076923,"{""mean"": 0.5923076923076923, ""low"": 0.5153846153846153, ""high"": 0.6692307692307692}",,0.12307692307692308,"{""mean"": 0.12307692307692308, ""low"": 0.06923076923076923, ""high"": 0.17692307692307693}",130
0.5089769647696477,1.0,123,0.6166216635443853,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.4715447154471545,,0.0,0.5433604336043361,event_dynamic_recognition,"{""answered"": 123}",0.5555555555555556,"{""mean"": 0.5555555555555556, ""low"": 0.47317073170731705, ""high"": 0.634959349593496}",,0.5433604336043361,"{""mean"": 0.5433604336043361, ""low"": 0.45799457994579945, ""high"": 0.6235772357723577}",123
0.05115740740740741,1.0,54,0.35600028136159717,0.018518518518518517,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.018518518518518517,,0.0,0.14508105845666233,event_navigation,"{""answered"": 54}",0.07098765432098765,"{""mean"": 0.07098765432098765, ""low"": 0.018518518518518517, ""high"": 0.1388888888888889}",,0.14508105845666233,"{""mean"": 0.14508105845666233, ""low"": 0.08682121130792628, ""high"": 0.21079799606369654}",54
0.8947368421052632,1.0,57,0.9166400850611377,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.8947368421052632,,0.0,0.9315789473684211,event_non_common,"{""answered"": 57}",0.9824561403508771,"{""mean"": 0.9824561403508771, ""low"": 0.9473684210526315, ""high"": 1.0}",,0.9315789473684211,"{""mean"": 0.9315789473684211, ""low"": 0.8736842105263158, ""high"": 0.980701754385965}",57
0.32966553968015955,1.0,54,0.6159848966346043,0.037037037037037035,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.3148148148148148,,0.018518518518518517,0.48306551283959637,event_object_recognition,"{""answered"": 54}",0.47456099992331874,"{""mean"": 0.47456099992331874, ""low"": 0.35383789586688136, ""high"": 0.591358024691358}",,0.48923835234576923,"{""mean"": 0.48923835234576923, ""low"": 0.367134760506457, ""high"": 0.6008785639859808}",54
0.04458874458874459,1.0,55,0.4864829236903796,0.16363636363636364,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.01818181818181818,,0.05454545454545454,0.15385439569368645,event_scene_sequence,"{""answered"": 55}",0.07424242424242425,"{""mean"": 0.07424242424242425, ""low"": 0.022727272727272728, ""high"": 0.13636363636363635}",,0.158399850239141,"{""mean"": 0.158399850239141, ""low"": 0.10702336129017807, ""high"": 0.22100903843656447}",55
0.2679215043823923,1.0,55,0.5727049298514081,0.01818181818181818,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.18181818181818182,,0.0,0.4058152958152958,event_spatial_reasoning,"{""answered"": 55}",0.4349062049062049,"{""mean"": 0.4349062049062049, ""low"": 0.32707070707070707, ""high"": 0.5478210678210679}",,0.4058152958152958,"{""mean"": 0.4058152958152958, ""low"": 0.3082972582972583, ""high"": 0.5066233766233766}",55
0.2878947020742502,1.0,464,0.3978258153999914,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.2823275862068966,,0.0,0.3670111485384685,light_change,"{""answered"": 464}",0.519862871802527,"{""mean"": 0.519862871802527, ""low"": 0.47361326413050553, ""high"": 0.563986516357206}",,0.3675989228331394,"{""mean"": 0.3675989228331394, ""low"": 0.33059075144204453, ""high"": 0.4058628415547153}",464
0.14183265537696993,1.0,106,0.5087342836628118,0.009433962264150943,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.10377358490566038,,0.0,0.2702169787992888,light_recognition,"{""answered"": 106}",0.28556236740199004,"{""mean"": 0.28556236740199004, ""low"": 0.2190386395575075, ""high"": 0.3554221459881837}",,0.2833197041661651,"{""mean"": 0.2833197041661651, ""low"": 0.22627750885555833, ""high"": 0.34568896235100455}",106
0.18684219282973344,1.0,438,0.39708755331168283,0.00684931506849315,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.17123287671232876,,0.00228310502283105,0.2907938309619107,navigation,"{""answered"": 438}",0.3304794520547945,"{""mean"": 0.3304794520547945, ""low"": 0.2853881278538813, ""high"": 0.375}",,0.2936808576845539,"{""mean"": 0.2936808576845539, ""low"": 0.2578978660917315, ""high"": 0.32986620328770766}",438
0.3270609318996416,1.0,124,0.4302261437981107,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.3225806451612903,,0.0,0.4468309936311732,non_common,"{""answered"": 124}",0.8387634506818155,"{""mean"": 0.8387634506818155, ""low"": 0.7767773659253323, ""high"": 0.8991596638655462}",,0.44816476697220664,"{""mean"": 0.44816476697220664, ""low"": 0.38561352435609536, ""high"": 0.5153368084582506}",124
0.23483919309699813,1.0,101,0.5716728627685763,0.0,,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,,,,qwen_vl:Qwen3-VL-4B-Instruct:frame:6e85eecd,0.19801980198019803,,0.0,0.39256539118857686,object_recognition,"{""answered"": 101}",0.3721143542925721,"{""mean"": 0.3721143542925721, ""low"": 0.2938965325103939, ""high"": 0.4466303773234466}",,0.41043561276472657,"{""mean"": 0.41043561276472657, ""low"": 0.3376870158700196, ""high"": 0.4816838145218805}",101
