anls,answer_rate,answered,character_f1,conciseness_violation_rate,frame_counts,incremental_peak_gpu_gb_max,judge_evaluated,judge_label_counts,judge_soft_accuracy,judge_strict_accuracy,judge_strict_accuracy_ci95,judge_unjudgeable_rate,latency_mean_seconds,latency_median_seconds,latency_p95_seconds,max_frames_per_item,model_key,normalized_exact_match,peak_gpu_gb_max,repetition_rate,rouge_l_f1,section,status_counts,task_aware_score,task_aware_score_ci95,throughput_qa_per_hour,token_f1,token_f1_ci95,total
0.0855717016214282,1.0,429,0.5046328862166751,0.016317016317016316,[30],,429,"{""partially_correct"": 40, ""correct"": 234, ""incorrect"": 155}",0.5920745920745921,0.5454545454545454,"{""mean"": 0.5454545454545454, ""low"": 0.4988344988344988, ""high"": 0.5920745920745921}",0.0,,,,30,internvl:InternVL2_5-4B:frame:15612592,0.04195804195804196,,0.0,0.24262828496175273,action,"{""answered"": 429}",0.32827778114339695,"{""mean"": 0.32827778114339695, ""low"": 0.2953492257235557, ""high"": 0.3629547902580427}",,0.24838508468911952,"{""mean"": 0.24838508468911952, ""low"": 0.22420747910009267, ""high"": 0.27171499275053557}",429
0.10307529839984374,1.0,450,0.35714870207191746,0.0,[30],,450,"{""incorrect"": 163, ""correct"": 284, ""partially_correct"": 3}",0.6344444444444445,0.6311111111111111,"{""mean"": 0.6311111111111111, ""low"": 0.5888888888888889, ""high"": 0.6755555555555556}",0.0,,,,30,internvl:InternVL2_5-4B:frame:15612592,0.035555555555555556,,0.0,0.28407111448743344,counting,"{""answered"": 450}",0.6290423027265133,"{""mean"": 0.6290423027265133, ""low"": 0.5861183261183261, ""high"": 0.6715045188729399}",,0.2902738964513093,"{""mean"": 0.2902738964513093, ""low"": 0.26611136193820717, ""high"": 0.31298159396146114}",450
0.03352129650888306,1.0,151,0.3865912211664889,0.006622516556291391,[30],,151,"{""incorrect"": 84, ""correct"": 57, ""partially_correct"": 10}",0.4105960264900662,0.37748344370860926,"{""mean"": 0.37748344370860926, ""low"": 0.304635761589404, ""high"": 0.45695364238410596}",0.0,,,,30,internvl:InternVL2_5-4B:frame:15612592,0.019867549668874173,,0.0,0.13063072625176658,depth_action,"{""answered"": 151}",0.25298370115635815,"{""mean"": 0.25298370115635815, ""low"": 0.1971249032794355, ""high"": 0.31387094431094187}",,0.1315137284592721,"{""mean"": 0.1315137284592721, ""low"": 0.10111380656149278, ""high"": 0.16330506131625605}",151
0.0054611650485436895,1.0,103,0.21011871497148651,0.009708737864077669,[30],,103,"{""correct"": 11, ""incorrect"": 92}",0.10679611650485436,0.10679611650485436,"{""mean"": 0.10679611650485436, ""low"": 0.04854368932038835, ""high"": 0.1650485436893204}",0.0,,,,30,internvl:InternVL2_5-4B:frame:15612592,0.0,,0.0,0.0878526004739597,depth_counting,"{""answered"": 103}",0.10679611650485436,"{""mean"": 0.10679611650485436, ""low"": 0.04854368932038835, ""high"": 0.1650485436893204}",,0.08961782554015564,"{""mean"": 0.08961782554015564, ""low"": 0.06388923913195758, ""high"": 0.11560963308536124}",103
0.006355932203389831,1.0,118,0.1893462094989588,0.00847457627118644,[30],,118,"{""incorrect"": 65, ""correct"": 53}",0.4491525423728814,0.4491525423728814,"{""mean"": 0.4491525423728814, ""low"": 0.3644067796610169, ""high"": 0.5423728813559322}",0.0,,,,30,internvl:InternVL2_5-4B:frame:15612592,0.0,,0.0,0.07371202244083601,depth_dynamic_counting,"{""answered"": 118}",0.2627118644067797,"{""mean"": 0.2627118644067797, ""low"": 0.1864406779661017, ""high"": 0.3474576271186441}",,0.07371202244083601,"{""mean"": 0.07371202244083601, ""low"": 0.04962904327311107, ""high"": 0.1006763951679206}",118
0.012918379330593071,1.0,131,0.2646317298558081,0.0,[30],,131,"{""incorrect"": 69, ""correct"": 60, ""partially_correct"": 2}",0.46564885496183206,0.4580152671755725,"{""mean"": 0.4580152671755725, ""low"": 0.37404580152671757, ""high"": 0.5343511450381679}",0.0,,,,30,internvl:InternVL2_5-4B:frame:15612592,0.007633587786259542,,0.0,0.12332780226808067,depth_dynamic_recognition,"{""answered"": 131}",0.4289172659401667,"{""mean"": 0.4289172659401667, ""low"": 0.35282427496167956, ""high"": 0.5049421316596889}",,0.12332780226808067,"{""mean"": 0.12332780226808067, ""low"": 0.10079588126287722, ""high"": 0.14895846931096146}",131
0.030727762803234502,1.0,53,0.3793648168200012,0.03773584905660377,[30],,53,"{""incorrect"": 20, ""correct"": 31, ""partially_correct"": 2}",0.6037735849056604,0.5849056603773585,"{""mean"": 0.5849056603773585, ""low"": 0.4528301886792453, ""high"": 0.7169811320754716}",0.0,,,,30,internvl:InternVL2_5-4B:frame:15612592,0.018867924528301886,,0.0,0.20166360646382844,depth_navigation,"{""answered"": 53}",0.5094339622641509,"{""mean"": 0.5094339622641509, ""low"": 0.3584905660377358, ""high"": 0.6415094339622641}",,0.2038833622906875,"{""mean"": 0.2038833622906875, ""low"": 0.15792508145449322, ""high"": 0.2537596020947852}",53
0.025396825396825397,1.0,56,0.15740693097295808,0.07142857142857142,[30],,56,"{""incorrect"": 19, ""correct"": 37}",0.6607142857142857,0.6607142857142857,"{""mean"": 0.6607142857142857, ""low"": 0.5535714285714286, ""high"": 0.7857142857142857}",0.0,,,,30,internvl:InternVL2_5-4B:frame:15612592,0.0,,0.0,0.15842897495153135,depth_non_common,"{""answered"": 56}",0.6442857142857142,"{""mean"": 0.6442857142857142, ""low"": 0.5221428571428571, ""high"": 0.7678571428571429}",,0.15842897495153135,"{""mean"": 0.15842897495153135, ""low"": 0.11596705351874526, ""high"": 0.20277736309221273}",56
0.0,1.0,49,0.3545137911096613,0.08163265306122448,[30],,49,"{""incorrect"": 37, ""correct"": 9, ""partially_correct"": 3}",0.21428571428571427,0.1836734693877551,"{""mean"": 0.1836734693877551, ""low"": 0.08163265306122448, ""high"": 0.2857142857142857}",0.0,,,,30,internvl:InternVL2_5-4B:frame:15612592,0.0,,0.0,0.0810612290204127,depth_object_recognition,"{""answered"": 49}",0.06166226064185248,"{""mean"": 0.06166226064185248, ""low"": 0.02756767042481328, ""high"": 0.09749717402778627}",,0.08760230699006209,"{""mean"": 0.08760230699006209, ""low"": 0.04756298123645063, ""high"": 0.129504848892604}",49
0.0216255442670537,1.0,53,0.35851802834626073,0.05660377358490566,[30],,53,"{""incorrect"": 22, ""correct"": 31}",0.5849056603773585,0.5849056603773585,"{""mean"": 0.5849056603773585, ""low"": 0.4528301886792453, ""high"": 0.7169811320754716}",0.0,,,,30,internvl:InternVL2_5-4B:frame:15612592,0.0,,0.05660377358490566,0.15005102377466417,depth_scene_sequence,"{""answered"": 53}",0.49056603773584906,"{""mean"": 0.49056603773584906, ""low"": 0.3584905660377358, ""high"": 0.6226415094339622}",,0.1510709115870048,"{""mean"": 0.1510709115870048, ""low"": 0.1113241495316967, ""high"": 0.2016173861900832}",53
